UDP Outside  66.171.145.244:0 Inside  10.5.124.104:5060, idle 0:00:23, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.144.131:5060, idle 0:00:02, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.131:5060, idle 0:00:19, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.76.156:5060, idle 0:00:01, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.76.156:5060, idle 0:00:14, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.113:5060, idle 0:00:16, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.144.113:5060, idle 0:00:27, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.76.100:5060, idle 0:00:08, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.76.100:5060, idle 0:00:25, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.164:5060, idle 0:00:00, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.146.164:5060, idle 0:00:01, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.64.107:5060, idle 0:00:00, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.64.107:5060, idle 0:00:23, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.79.155:5060, idle 0:00:02, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.79.155:5060, idle 0:00:27, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.13.102:5060, idle 0:00:08, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.13.102:5060, idle 0:00:29, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.13.151:5060, idle 0:00:08, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.13.151:5060, idle 0:00:11, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.15.103:5060, idle 0:00:05, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.15.103:5060, idle 0:00:27, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.5.63:5060, idle 0:00:04, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.5.63:5060, idle 0:00:25, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.144.116:5060, idle 0:00:06, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.116:5060, idle 0:00:08, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.144.112:5060, idle 0:00:04, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.112:5060, idle 0:00:09, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.112:5060, idle 0:15:07, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.121.104:5060, idle 0:00:14, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.121.104:5060, idle 0:00:24, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.144.124:5060, idle 0:00:05, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.124:5060, idle 0:00:17, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.144.121:5060, idle 0:00:07, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.121:5060, idle 0:00:12, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.124.102:5060, idle 0:00:13, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.124.102:5060, idle 0:00:16, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.146.126:5060, idle 0:00:01, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.126:5060, idle 0:00:27, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.146.169:5060, idle 0:00:04, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.169:5060, idle 0:00:15, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.169:5060, idle 0:01:05, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.169:5060, idle 0:01:05, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.169:5060, idle 0:01:05, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.159:5060, idle 0:00:06, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.144.159:5060, idle 0:00:06, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.27.163:5060, idle 0:00:12, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.27.163:5060, idle 0:00:14, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.5.55:5060, idle 0:00:21, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.5.55:5060, idle 0:00:22, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.144.154:5060, idle 0:00:08, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.154:5060, idle 0:00:28, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.27.174:5060, idle 0:00:05, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.27.174:5060, idle 0:00:27, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.152:5060, idle 0:00:02, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.144.152:5060, idle 0:00:02, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.121.111:5060, idle 0:00:02, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.121.111:5060, idle 0:00:14, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.121.102:5060, idle 0:00:20, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.121.102:5060, idle 0:00:21, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.170:5060, idle 0:00:01, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.146.170:5060, idle 0:00:26, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.136.115:5060, idle 0:00:14, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.136.115:5060, idle 0:00:14, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.136.115:5060, idle 0:00:15, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.136.115:5060, idle 0:00:15, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.136.115:5060, idle 0:00:44, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.136.115:5060, idle 0:00:45, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.136.115:5060, idle 0:01:14, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.136.115:5060, idle 0:01:15, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.136.115:5060, idle 0:01:44, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.136.115:5060, idle 0:01:45, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.129:5060, idle 0:00:07, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.146.129:5060, idle 0:00:09, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.8.20.183:5060, idle 0:00:02, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.8.20.183:5060, idle 0:00:08, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.8.20.183:5060, idle 0:00:16, bytes 0, flags ti 
